trialnum,choice,rt,reward,penalty,netgain,previous_earnings,running_netscore
1,2,0.88565,100,0,100,2000,-1
2,3,0.738,50,0,50,2100,0
3,2,0.90136,100,0,100,2150,-1
4,1,1.267,100,0,100,2250,-2
5,2,1.4494,100,0,100,2350,-3
6,3,0.76358,50,-50,0,2450,-2
7,2,0.6562,100,0,100,2450,-3
8,1,0.84813,100,-150,-50,2550,-4
9,4,0.70984,50,0,50,2500,-3
10,3,0.97081,50,0,50,2550,-2
11,2,0.87814,100,0,100,2600,-3
12,1,0.9398,100,0,100,2700,-4
13,1,0.77652,100,-300,-200,2800,-5
14,1,0.69098,100,0,100,2600,-6
15,2,0.77124,100,0,100,2700,-7
16,3,0.58188,50,-50,0,2800,-6
17,4,1.5133,50,0,50,2800,-5
18,4,1.477,50,0,50,2850,-4
19,4,1.086,50,0,50,2900,-3
20,4,1.7523,50,0,50,2950,-2
21,4,0.96809,50,0,50,3000,-1
22,4,0.98718,50,0,50,3050,0
23,4,1.0587,50,0,50,3100,1
24,4,0.9329,50,-250,-200,3150,2
25,4,0.99914,50,0,50,2950,3
26,4,0.96052,50,0,50,3000,4
27,4,1.1349,50,0,50,3050,5
28,4,1.0129,50,0,50,3100,6
29,4,0.82549,50,0,50,3150,7
30,4,0.85064,50,0,50,3200,8
31,3,1.9873,50,0,50,3250,9
32,2,0.8093,100,0,100,3300,8
33,4,0.89965,50,0,50,3400,9
34,3,2.4371,50,-50,0,3450,10
35,2,0.69187,100,-1250,-1150,3450,9
36,1,0.76755,100,-200,-100,2300,8
37,4,0.86582,50,0,50,2200,9
38,3,0.89368,50,0,50,2250,10
39,3,1.201,50,-50,0,2300,11
40,4,1.0963,50,0,50,2300,12
41,4,1.1217,50,-250,-200,2350,13
42,4,1.0599,50,0,50,2150,14
43,4,1.8853,50,0,50,2200,15
44,4,4.8911,50,0,50,2250,16
45,3,1.4895,50,-50,0,2300,17
46,3,0.70148,50,0,50,2300,18
47,3,0.60957,50,-25,25,2350,19
48,3,0.87877,50,-75,-25,2375,20
49,3,0.87047,50,0,50,2350,21
50,3,0.64986,50,0,50,2400,22
51,3,0.67132,50,0,50,2450,23
52,4,0.63547,50,0,50,2500,24
53,2,1.0554,100,0,100,2550,23
54,3,0.76654,50,-25,25,2650,24
55,4,1.1378,50,0,50,2675,25
56,3,0.89679,50,-75,-25,2725,26
57,2,0.79597,100,0,100,2700,25
58,3,0.81773,50,0,50,2800,26
59,2,0.65936,100,0,100,2850,25
60,3,0.68083,50,-50,0,2950,26
61,2,0.78552,100,0,100,2950,25
62,3,0.84911,50,0,50,3050,26
63,2,0.78483,100,-1250,-1150,3100,25
64,2,1.0883,100,0,100,1950,24
65,3,0.69329,50,0,50,2050,25
66,3,0.6433,50,0,50,2100,26
67,3,0.57438,50,-50,0,2150,27
68,3,0.5985,50,-25,25,2150,28
69,3,0.73792,50,-50,0,2175,29
70,3,0.68422,50,0,50,2175,30
71,3,0.69386,50,0,50,2225,31
72,3,0.76133,50,-75,-25,2275,32
73,3,0.763,50,-50,0,2250,33
74,3,0.65641,50,0,50,2250,34
75,3,0.58316,50,0,50,2300,35
76,3,0.4739,50,0,50,2350,36
77,3,0.58137,50,-25,25,2400,37
78,3,1.0133,50,-25,25,2425,38
79,3,0.73522,50,0,50,2450,39
80,3,0.73491,50,-75,-25,2500,40
81,3,0.76464,50,0,50,2475,41
82,3,0.57622,50,-50,0,2525,42
83,4,0.75783,50,0,50,2525,43
84,4,0.89754,50,0,50,2575,44
85,4,0.98865,50,0,50,2625,45
86,4,0.94886,50,-250,-200,2675,46
87,3,0.59685,50,-75,-25,2475,47
88,4,0.79534,50,0,50,2450,48
89,3,0.7266,50,0,50,2500,49
90,3,0.75053,50,0,50,2550,50
91,3,0.63771,50,-50,0,2600,51
92,3,0.60769,50,0,50,2600,52
93,3,0.66489,50,-50,0,2650,53
94,3,0.91608,50,0,50,2650,54
95,3,0.60705,50,-50,0,2700,55
96,2,0.83426,100,0,100,2700,54
97,3,0.82334,50,0,50,2800,55
98,4,0.99634,50,0,50,2850,56
99,3,0.77356,50,-50,0,2900,57
100,2,0.72876,100,0,100,2900,56
